size,time,type,action
345,0.012,parallel,sum
346,0.002,parallel,vector
346,0.012,parallel,sum
347,0.002,parallel,vector
347,0.012,parallel,sum
348,0.002,parallel,vector
348,0.013,parallel,sum
349,0.003,parallel,vector
349,0.013,parallel,sum
350,0.003,parallel,vector
350,0.014,parallel,sum
351,0.003,parallel,vector
351,0.012,parallel,sum
352,0.003,parallel,vector
352,0.011,parallel,sum
353,0.003,parallel,vector
353,0.012,parallel,sum
354,0.003,parallel,vector
354,0.013,parallel,sum
355,0.002,parallel,vector
355,0.013,parallel,sum
356,0.002,parallel,vector
356,0.013,parallel,sum
357,0.003,parallel,vector
357,0.012,parallel,sum
358,0.003,parallel,vector
358,0.012,parallel,sum
359,0.003,parallel,vector
359,0.013,parallel,sum
1,0,serial,vector
1,0,serial,sum
2,0,serial,vector
2,0,serial,sum
3,0,serial,vector
3,0,serial,sum
4,0,serial,vector
4,0,serial,sum
5,0,serial,vector
5,0,serial,sum
6,0,serial,vector
6,0,serial,sum
7,0,serial,vector
7,0,serial,sum
8,0,serial,vector
8,0,serial,sum
9,0,serial,vector
9,0,serial,sum
10,0,serial,vector
10,0,serial,sum
11,0,serial,vector
11,0,serial,sum
12,0,serial,vector
12,0,serial,sum
13,0,serial,vector
13,0,serial,sum
14,0,serial,vector
14,0,serial,sum
15,0,serial,vector
15,0,serial,sum
16,0,serial,vector
16,0,serial,sum
17,0,serial,vector
17,0,serial,sum
18,0,serial,vector
18,0,serial,sum
19,0,serial,vector
19,0,serial,sum
20,0,serial,vector
20,0,serial,sum
21,0,serial,vector
21,0,serial,sum
22,0,serial,vector
22,0,serial,sum
23,0,serial,vector
23,0.001,serial,sum
24,0,serial,vector
24,0,serial,sum
25,0,serial,vector
25,0,serial,sum
26,0,serial,vector
26,0,serial,sum
27,0,serial,vector
27,0,serial,sum
28,0,serial,vector
28,0.001,serial,sum
29,0,serial,vector
29,0,serial,sum
30,0,serial,vector
30,0,serial,sum
31,0,serial,vector
31,0,serial,sum
32,0,serial,vector
32,0.001,serial,sum
33,0,serial,vector
33,0,serial,sum
34,0,serial,vector
34,0,serial,sum
35,0,serial,vector
35,0.001,serial,sum
36,0,serial,vector
36,0,serial,sum
37,0,serial,vector
37,0,serial,sum
38,0,serial,vector
38,0.001,serial,sum
39,0,serial,vector
39,0,serial,sum
40,0,serial,vector
40,0.001,serial,sum
41,0,serial,vector
41,0,serial,sum
42,0,serial,vector
42,0.001,serial,sum
43,0,serial,vector
43,0,serial,sum
44,0,serial,vector
44,0.001,serial,sum
45,0,serial,vector
45,0,serial,sum
46,0,serial,vector
46,0.001,serial,sum
47,0,serial,vector
47,0,serial,sum
48,0,serial,vector
48,0.001,serial,sum
49,0,serial,vector
49,0,serial,sum
50,0.001,serial,vector
50,0,serial,sum
51,0,serial,vector
51,0.001,serial,sum
52,0,serial,vector
52,0,serial,sum
53,0,serial,vector
53,0,serial,sum
54,0,serial,vector
54,0.001,serial,sum
55,0,serial,vector
55,0.001,serial,sum
56,0,serial,vector
56,0.001,serial,sum
57,0,serial,vector
57,0,serial,sum
58,0.001,serial,vector
58,0,serial,sum
59,0,serial,vector
59,0,serial,sum
60,0.001,serial,vector
60,0,serial,sum
61,0,serial,vector
61,0,serial,sum
62,0,serial,vector
62,0.001,serial,sum
63,0,serial,vector
63,0,serial,sum
64,0,serial,vector
64,0.001,serial,sum
65,0,serial,vector
65,0,serial,sum
66,0,serial,vector
66,0.001,serial,sum
67,0,serial,vector
67,0,serial,sum
68,0,serial,vector
68,0.001,serial,sum
69,0,serial,vector
69,0,serial,sum
70,0.001,serial,vector
70,0,serial,sum
71,0,serial,vector
71,0.001,serial,sum
72,0,serial,vector
72,0,serial,sum
73,0,serial,vector
73,0.001,serial,sum
74,0,serial,vector
74,0,serial,sum
75,0.001,serial,vector
75,0,serial,sum
76,0,serial,vector
76,0.001,serial,sum
77,0,serial,vector
77,0,serial,sum
78,0,serial,vector
78,0.001,serial,sum
79,0,serial,vector
79,0,serial,sum
80,0,serial,vector
80,0,serial,sum
81,0,serial,vector
81,0.001,serial,sum
82,0,serial,vector
82,0.001,serial,sum
83,0,serial,vector
83,0,serial,sum
84,0.001,serial,vector
84,0,serial,sum
85,0,serial,vector
85,0.001,serial,sum
86,0,serial,vector
86,0.001,serial,sum
87,0,serial,vector
87,0,serial,sum
88,0,serial,vector
88,0.001,serial,sum
89,0,serial,vector
89,0.001,serial,sum
90,0,serial,vector
90,0.001,serial,sum
91,0,serial,vector
91,0.001,serial,sum
92,0,serial,vector
92,0.001,serial,sum
93,0,serial,vector
93,0.001,serial,sum
94,0,serial,vector
94,0.001,serial,sum
95,0,serial,vector
95,0.001,serial,sum
96,0,serial,vector
96,0.001,serial,sum
97,0,serial,vector
97,0.001,serial,sum
98,0,serial,vector
98,0.001,serial,sum
99,0,serial,vector
99,0.001,serial,sum
100,0,serial,vector
100,0.001,serial,sum
101,0,serial,vector
101,0.001,serial,sum
102,0,serial,vector
102,0.001,serial,sum
103,0,serial,vector
103,0.001,serial,sum
104,0,serial,vector
104,0.001,serial,sum
105,0.001,serial,vector
105,0.001,serial,sum
106,0,serial,vector
106,0.001,serial,sum
107,0,serial,vector
107,0.001,serial,sum
108,0,serial,vector
108,0.002,serial,sum
109,0,serial,vector
109,0.001,serial,sum
110,0,serial,vector
110,0.001,serial,sum
111,0,serial,vector
111,0.001,serial,sum
112,0.001,serial,vector
112,0.001,serial,sum
113,0,serial,vector
113,0.001,serial,sum
114,0,serial,vector
114,0.001,serial,sum
115,0,serial,vector
115,0.001,serial,sum
116,0.001,serial,vector
116,0.001,serial,sum
117,0,serial,vector
117,0.001,serial,sum
118,0.001,serial,vector
118,0.001,serial,sum
119,0,serial,vector
119,0.001,serial,sum
120,0.001,serial,vector
120,0.001,serial,sum
121,0,serial,vector
121,0.002,serial,sum
122,0,serial,vector
122,0.001,serial,sum
123,0.001,serial,vector
123,0.001,serial,sum
124,0,serial,vector
124,0.001,serial,sum
125,0.001,serial,vector
125,0.001,serial,sum
126,0,serial,vector
126,0.002,serial,sum
127,0,serial,vector
127,0.001,serial,sum
128,0.001,serial,vector
128,0.001,serial,sum
129,0,serial,vector
129,0.001,serial,sum
130,0.001,serial,vector
130,0.001,serial,sum
131,0.001,serial,vector
131,0.001,serial,sum
132,0.001,serial,vector
132,0.001,serial,sum
133,0.001,serial,vector
133,0.001,serial,sum
134,0,serial,vector
134,0.002,serial,sum
135,0,serial,vector
135,0.002,serial,sum
136,0,serial,vector
136,0.002,serial,sum
137,0,serial,vector
137,0.001,serial,sum
138,0.001,serial,vector
138,0.001,serial,sum
139,0.001,serial,vector
139,0.001,serial,sum
140,0,serial,vector
140,0.002,serial,sum
141,0,serial,vector
141,0.002,serial,sum
142,0,serial,vector
142,0.002,serial,sum
143,0,serial,vector
143,0.002,serial,sum
144,0,serial,vector
144,0.002,serial,sum
145,0,serial,vector
145,0.002,serial,sum
146,0.001,serial,vector
146,0.001,serial,sum
147,0.001,serial,vector
147,0.002,serial,sum
148,0,serial,vector
148,0.002,serial,sum
149,0.001,serial,vector
149,0.001,serial,sum
150,0.001,serial,vector
150,0.002,serial,sum
151,0,serial,vector
151,0.002,serial,sum
152,0.001,serial,vector
152,0.001,serial,sum
153,0.001,serial,vector
153,0.002,serial,sum
154,0,serial,vector
154,0.002,serial,sum
155,0.001,serial,vector
155,0.002,serial,sum
156,0,serial,vector
156,0.002,serial,sum
157,0.001,serial,vector
157,0.002,serial,sum
158,0,serial,vector
158,0.002,serial,sum
159,0.001,serial,vector
159,0.002,serial,sum
160,0.001,serial,vector
160,0.002,serial,sum
161,0,serial,vector
161,0.002,serial,sum
162,0.001,serial,vector
162,0.002,serial,sum
163,0.001,serial,vector
163,0.002,serial,sum
164,0,serial,vector
164,0.002,serial,sum
165,0.001,serial,vector
165,0.002,serial,sum
166,0.001,serial,vector
166,0.002,serial,sum
167,0.001,serial,vector
167,0.002,serial,sum
168,0.001,serial,vector
168,0.002,serial,sum
169,0.001,serial,vector
169,0.002,serial,sum
170,0.001,serial,vector
170,0.002,serial,sum
171,0.001,serial,vector
171,0.002,serial,sum
172,0.001,serial,vector
172,0.003,serial,sum
173,0,serial,vector
173,0.003,serial,sum
174,0.001,serial,vector
174,0.002,serial,sum
175,0.001,serial,vector
175,0.002,serial,sum
176,0.001,serial,vector
176,0.003,serial,sum
177,0,serial,vector
177,0.003,serial,sum
178,0.001,serial,vector
178,0.002,serial,sum
179,0.001,serial,vector
179,0.003,serial,sum
180,0,serial,vector
180,0.003,serial,sum
181,0.001,serial,vector
181,0.002,serial,sum
182,0.001,serial,vector
182,0.003,serial,sum
183,0.001,serial,vector
183,0.002,serial,sum
184,0.001,serial,vector
184,0.003,serial,sum
185,0.001,serial,vector
185,0.003,serial,sum
186,0,serial,vector
186,0.003,serial,sum
187,0.001,serial,vector
187,0.003,serial,sum
188,0.001,serial,vector
188,0.003,serial,sum
189,0.001,serial,vector
189,0.003,serial,sum
190,0.001,serial,vector
190,0.003,serial,sum
191,0.001,serial,vector
191,0.003,serial,sum
192,0.001,serial,vector
192,0.003,serial,sum
193,0.001,serial,vector
193,0.003,serial,sum
194,0.001,serial,vector
194,0.003,serial,sum
195,0.001,serial,vector
195,0.003,serial,sum
196,0.001,serial,vector
196,0.003,serial,sum
197,0.001,serial,vector
197,0.003,serial,sum
198,0.001,serial,vector
198,0.004,serial,sum
199,0,serial,vector
199,0.003,serial,sum
200,0.001,serial,vector
200,0.003,serial,sum
201,0.001,serial,vector
201,0.004,serial,sum
202,0.001,serial,vector
202,0.004,serial,sum
203,0.001,serial,vector
203,0.003,serial,sum
204,0.001,serial,vector
204,0.004,serial,sum
205,0.001,serial,vector
205,0.004,serial,sum
206,0.001,serial,vector
206,0.003,serial,sum
207,0.001,serial,vector
207,0.004,serial,sum
208,0.001,serial,vector
208,0.004,serial,sum
209,0.001,serial,vector
209,0.003,serial,sum
210,0.001,serial,vector
210,0.004,serial,sum
211,0.001,serial,vector
211,0.004,serial,sum
212,0.001,serial,vector
212,0.004,serial,sum
213,0.001,serial,vector
213,0.003,serial,sum
214,0.001,serial,vector
214,0.004,serial,sum
215,0.001,serial,vector
215,0.004,serial,sum
216,0.001,serial,vector
216,0.004,serial,sum
217,0.001,serial,vector
217,0.004,serial,sum
218,0.001,serial,vector
218,0.004,serial,sum
219,0.001,serial,vector
219,0.004,serial,sum
220,0.001,serial,vector
220,0.004,serial,sum
221,0.002,serial,vector
221,0.003,serial,sum
222,0.002,serial,vector
222,0.003,serial,sum
223,0.002,serial,vector
223,0.004,serial,sum
224,0.001,serial,vector
224,0.004,serial,sum
225,0.001,serial,vector
225,0.004,serial,sum
226,0.001,serial,vector
226,0.004,serial,sum
227,0.002,serial,vector
227,0.004,serial,sum
228,0.001,serial,vector
228,0.005,serial,sum
229,0.001,serial,vector
229,0.004,serial,sum
230,0.001,serial,vector
230,0.005,serial,sum
231,0.001,serial,vector
231,0.004,serial,sum
232,0.001,serial,vector
232,0.005,serial,sum
233,0.001,serial,vector
233,0.005,serial,sum
234,0.001,serial,vector
234,0.004,serial,sum
235,0.001,serial,vector
235,0.005,serial,sum
236,0.001,serial,vector
236,0.005,serial,sum
237,0.001,serial,vector
237,0.004,serial,sum
238,0.002,serial,vector
238,0.004,serial,sum
239,0.002,serial,vector
239,0.004,serial,sum
240,0.001,serial,vector
240,0.005,serial,sum
241,0.001,serial,vector
241,0.005,serial,sum
242,0.002,serial,vector
242,0.004,serial,sum
243,0.002,serial,vector
243,0.005,serial,sum
244,0.001,serial,vector
244,0.005,serial,sum
245,0.001,serial,vector
245,0.005,serial,sum
246,0.002,serial,vector
246,0.005,serial,sum
247,0.001,serial,vector
247,0.005,serial,sum
248,0.001,serial,vector
248,0.005,serial,sum
249,0.002,serial,vector
249,0.006,serial,sum
250,0.001,serial,vector
250,0.005,serial,sum
251,0.002,serial,vector
251,0.005,serial,sum
252,0.001,serial,vector
252,0.005,serial,sum
253,0.002,serial,vector
253,0.005,serial,sum
254,0.002,serial,vector
254,0.005,serial,sum
255,0.001,serial,vector
255,0.005,serial,sum
256,0.001,serial,vector
256,0.006,serial,sum
257,0.001,serial,vector
257,0.005,serial,sum
258,0.002,serial,vector
258,0.005,serial,sum
259,0.002,serial,vector
259,0.006,serial,sum
260,0.001,serial,vector
260,0.006,serial,sum
261,0.001,serial,vector
261,0.006,serial,sum
262,0.002,serial,vector
262,0.005,serial,sum
263,0.002,serial,vector
263,0.006,serial,sum
264,0.001,serial,vector
264,0.006,serial,sum
265,0.001,serial,vector
265,0.006,serial,sum
266,0.002,serial,vector
266,0.005,serial,sum
267,0.002,serial,vector
267,0.006,serial,sum
268,0.001,serial,vector
268,0.006,serial,sum
269,0.002,serial,vector
269,0.006,serial,sum
270,0.001,serial,vector
270,0.006,serial,sum
271,0.001,serial,vector
271,0.006,serial,sum
272,0.002,serial,vector
272,0.006,serial,sum
273,0.002,serial,vector
273,0.006,serial,sum
274,0.002,serial,vector
274,0.006,serial,sum
275,0.001,serial,vector
275,0.006,serial,sum
276,0.002,serial,vector
276,0.006,serial,sum
277,0.002,serial,vector
277,0.006,serial,sum
278,0.002,serial,vector
278,0.006,serial,sum
279,0.002,serial,vector
279,0.006,serial,sum
280,0.002,serial,vector
280,0.006,serial,sum
281,0.002,serial,vector
281,0.006,serial,sum
282,0.002,serial,vector
282,0.007,serial,sum
283,0.002,serial,vector
283,0.007,serial,sum
284,0.002,serial,vector
284,0.006,serial,sum
285,0.002,serial,vector
285,0.007,serial,sum
286,0.002,serial,vector
286,0.007,serial,sum
287,0.002,serial,vector
287,0.007,serial,sum
288,0.002,serial,vector
288,0.007,serial,sum
289,0.002,serial,vector
289,0.007,serial,sum
290,0.002,serial,vector
290,0.007,serial,sum
291,0.002,serial,vector
291,0.008,serial,sum
292,0.002,serial,vector
292,0.007,serial,sum
293,0.002,serial,vector
293,0.007,serial,sum
294,0.002,serial,vector
294,0.008,serial,sum
295,0.002,serial,vector
295,0.007,serial,sum
296,0.002,serial,vector
296,0.007,serial,sum
297,0.002,serial,vector
297,0.007,serial,sum
298,0.002,serial,vector
298,0.008,serial,sum
299,0.002,serial,vector
299,0.008,serial,sum
300,0.002,serial,vector
300,0.007,serial,sum
301,0.002,serial,vector
301,0.008,serial,sum
302,0.002,serial,vector
302,0.007,serial,sum
303,0.003,serial,vector
303,0.008,serial,sum
304,0.003,serial,vector
304,0.007,serial,sum
305,0.003,serial,vector
305,0.007,serial,sum
306,0.002,serial,vector
306,0.01,serial,sum
307,0.002,serial,vector
307,0.007,serial,sum
308,0.003,serial,vector
308,0.007,serial,sum
309,0.002,serial,vector
309,0.008,serial,sum
310,0.002,serial,vector
310,0.008,serial,sum
311,0.002,serial,vector
311,0.008,serial,sum
312,0.002,serial,vector
312,0.009,serial,sum
313,0.002,serial,vector
313,0.008,serial,sum
314,0.002,serial,vector
314,0.009,serial,sum
315,0.002,serial,vector
315,0.008,serial,sum
316,0.002,serial,vector
316,0.008,serial,sum
317,0.002,serial,vector
317,0.008,serial,sum
318,0.002,serial,vector
318,0.008,serial,sum
319,0.002,serial,vector
319,0.008,serial,sum
320,0.002,serial,vector
320,0.008,serial,sum
321,0.002,serial,vector
321,0.009,serial,sum
322,0.002,serial,vector
322,0.009,serial,sum
323,0.002,serial,vector
323,0.009,serial,sum
324,0.002,serial,vector
324,0.008,serial,sum
325,0.003,serial,vector
325,0.01,serial,sum
326,0.002,serial,vector
326,0.01,serial,sum
327,0.003,serial,vector
327,0.01,serial,sum
328,0.003,serial,vector
328,0.008,serial,sum
329,0.003,serial,vector
329,0.009,serial,sum
330,0.002,serial,vector
330,0.009,serial,sum
331,0.002,serial,vector
331,0.009,serial,sum
332,0.003,serial,vector
332,0.009,serial,sum
333,0.002,serial,vector
333,0.009,serial,sum
334,0.003,serial,vector
334,0.009,serial,sum
335,0.002,serial,vector
335,0.01,serial,sum
336,0.002,serial,vector
336,0.01,serial,sum
337,0.002,serial,vector
337,0.009,serial,sum
338,0.003,serial,vector
338,0.01,serial,sum
339,0.002,serial,vector
339,0.01,serial,sum
340,0.003,serial,vector
340,0.01,serial,sum
341,0.003,serial,vector
341,0.009,serial,sum
342,0.003,serial,vector
342,0.01,serial,sum
343,0.002,serial,vector
343,0.01,serial,sum
344,0.003,serial,vector
344,0.009,serial,sum
345,0.003,serial,vector
345,0.01,serial,sum
346,0.002,serial,vector
346,0.01,serial,sum
347,0.003,serial,vector
347,0.01,serial,sum
348,0.003,serial,vector
348,0.01,serial,sum
349,0.002,serial,vector
349,0.01,serial,sum
350,0.003,serial,vector
350,0.01,serial,sum
351,0.003,serial,vector
351,0.01,serial,sum
352,0.003,serial,vector
352,0.01,serial,sum
353,0.003,serial,vector
353,0.01,serial,sum
354,0.003,serial,vector
354,0.01,serial,sum
355,0.004,serial,vector
355,0.011,serial,sum
356,0.003,serial,vector
356,0.012,serial,sum
357,0.003,serial,vector
357,0.011,serial,sum
358,0.003,serial,vector
358,0.01,serial,sum
359,0.003,serial,vector
359,0.015,serial,sum